No;Label;Tweet
51;Netral;Bos Samator Grup Arief Harsono meninggal dunia terpapar COVID-. SamatorGrup AriefHarsono  https://t.co/abTMAirYa 
52;Netral;Bos tabung oksigen aja meninggal  apalagi yang bukan. https://t.co/TLkdvDMO 
53;Negatif;BPK wajib melakukan audit supaya tahu berapa banyak yang masuk ke rekening koruptor https://t.co/jRbXCQcf 
54;Netral;BPOM Bergeming  Ini Sebab Ivermectin Belum Diizinkan Digunakan Luas  Kenapa BPOM dan FDA di Amerika Serikat dan EMA di Uni Eropa bersikukuh 'melawan arus' yang menghendaki pengobatan Covid- dengan ivermectin?  https://t.co/OLLaWfhv 
55;Negatif;Buntut Larang Salat Ied dan Takbiran  Menag Disebut Lebih Takut Covid- Dibanding Allah https://t.co/qATnEFGaH 
56;Negatif;Buntut Larang Sholat Ied dan Takbiran  Menag Disebut Lebih Takut Covid- Dibanding Allah SWT. https://t.co/PQKqdxbUD 
57;Netral;Dibutuhkan Donor ASI: Bayi laki-laki prematur  Lahir -- Butuh donor ASI krn ibu dirawat dg ventilator krn COVID- di ICU RSUD Dr. Soetomo sby Agama: Islam Posisi bayi di NICU RSUD Dr. Soetomo No. Hp + (Pak Yuda-Ayah bayi) Cc    
58;Netral;*CEGAH LONJAKAN COVID- TIM KESEHATAN SATGAS YONIF /RAJA PANDHITA  DAMPINGI VAKSINASI PERSIT DAN PERSONEL KORUM.* https://t.co/iXHKyHn 
59;Negatif;    Mencegah Penyebaran Covid itu dengan Protokol Masker  Jaga Jarak  Cuci Tangan. Bukan menutup Masjid  masjid   https://t.co/AuZFgznwho https://t.co/QjvtqdxHdu 
60;Positif;kita cegah penyebaran covid- dengan penerapan prokes dan do'a bersama  semoga pandemi segera berakhir  DoaDariDesaUmtukIndonesia  tppimagetan https://t.co/qepUnZh
61;Netral;Dari cerita nyata ini  hal yg bisa kita ambil : VAKSIN tidak membuat org tsb mjd kebal terhadap penyakit Covid-.. Jikalau memang pd akhirnya positif Covid-  keluhan yg dialami akan bersifat ringan  pemulihan berangsur lebih baik (dgn catatan : dlm kondisi perawatan di RS) 
62;Netral; Besar kemungkinan COVID- akan terus ada dan menjadi endemik  serta memerlukan vaksinasi berkala.   ICYMI AWANInews AWANIpagi MyVaksinCovid jomcucukvaksin  https://t.co/PGtgRrgi 
63;Negatif;Covid- Mengganas  Anggota DPRD Kutim Ingatkan Prokes Jangan Kendur detakkaltim https://t.co/yOocasy 
64;Netral;menyampaikan bahwa kasus Covid- di Jatim ini sudah mencapai third wave loh! 
65;Negatif; COVID- Jg sdg NGAMUK‼ Apa anda ga peduli dg Lonjakan Covid-❓ Yg meninggal Banyak sampe penggali kubur kewalahan  RS Overloads sampe nakes kelelahan. Demi Kemanusiaan  Empati barang sedikit  Klo ga bs bantu apa jangan buat gaduh ‼ 
66;Negatif;COVID-: Kes kematian sebelum tiba di hospital meningkat  kali ganda  https://t.co/mYygFoo 
67;Netral;Kasus Covid- Terus Melonjak  Sri Mulyani Naikkan Anggaran Kesehatan jadi Rp   Triliun https://t.co/VZtAiaKyb 
68;Negatif;    Covid - mengungkapkan pentingnya Maxisme-Leninisme: Kemanusiaan harus berbagi Sumber Daya  termasuk vaksin untuk mencapai kekebalan global ( persen) agar virus bermutasi  lebih sedikit berubah! Sayangnya  Negara Kaya  dengan lebih banyak vaksin daripada Negara Miskin 
69;Negatif;Covid-    Orang Terkaya Indonesia  Anda semua orang terkaya telah memperoleh keuntungan ratusan sd ribuan milyar rupiah dari negeri ini.  Mohon Anda tunjukkan kepedulian ke negara    rakyat: masing- Anda membeli  juta vaksin Pfizer/Moderna u/disuntikkan ke rakyat scr gratis. 🙏 https://t.co/mhaDlpdIO 
70;Netral;covid_  panama en Panama City  Panama https://t.co/Efvrbc 
71;Netral;Covid  akan mereda  nanti setelah ada acara pemilu. 
72;Netral;Kasus Baru Covid- Nyaris  Ribu  Ini Sebarannya di  Provinsi https://t.co/hHstAouO https://t.co/HLUfQVTm 
73;Netral;Kasus Covid- Meroket  Rangkaian Pernikahan Rizky Billar dan Lesti Resmi Diundur!  https://t.co/jhoKvVU Via  https://t.co/xIJtyn 
74;Positif;Covid- di SEMPRIT sama mereka yg disiplin dengan dirinya sendiri dan menghormati masyarakat di sekitar  top. Sehat selalu sedoyo🎉 https://t.co/mIrPXaCH 
75;Negatif;Mungkinkah Covid- Digunakan Sebagai Senjata Dalam Konflik Geopolitik? https://t.co/RWjNjufwa liputanmedia bukamatanews 
76;Netral; Daaaa  baada ya COVID- ya India inafuata ya wapi? 
77;Netral;Daftar  Lokasi Isolasi Pasien Covid- di Jakarta: GOR  Rusun  hingga Sekolah - Metro Tempo https://t.co/FMVHepos 
78;Netral;𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh  buka app MySejahtera dan cuba cara ini:  ) Klik pada ‘Covid- Vaccination’ ) Pilih ‘Vaccine Information’ https://t.co/MQPlqMuMG 
79;Netral;Berdasarkan rekomendasi WHO  tes untuk Covid- yang direkomendasikan adalah: . PCR . Tes Antigen  Tidak ada rekomendasi untuk penggunaan G*nos* atau alat berbasis deteksi VOC lainnya.  Yuk gunakan tes yang memang direkomendasikan WHO saja!! https://t.co/PohnvaiGe 
80;Netral;Data Positivity Rate Covid- sampai  Juli  https://t.co/raQDKmT https://t.co/XyQsXtXzRB 
81;Negatif;Diam di Rumah sekarang atau anda akhirnya harus sakit   isoman di rumah Dan kedulitan akses ke pengobatan !! Saat ini bukan waktunya sakit .. prokes wajib.  RS Rujukan Covid- Kolaps  Pasien-pasien Ini Meninggal Dunia di Rumah - https://t.co/VMkipffO https://t.co/mzpILuB 
82;Positif;Dianissa Rachman Puteri Indonesia Kaltim  Ajak Warga Samarinda Ikuti Vaksinasi Covid- - Tribun Kaltim https://t.co/fWLjPBJU 
83;Negatif; Begitu juga didaerahku tiada hari tanpa bunyi serine mobil ambulan... Kita blm berdaya melawan covid  krn sebagian warga + blm mematuhi prokes pemerintah. 
84;Negatif; Juga pendiri Samator Indonesia  yg ikut berjasa di kala pandemi Covid- ini. Turut berduka cita. 😢🌹❤ https://t.co/xXRpaeEaF 
85;Netral;Disiplinkan dari diri kita untuk patuh mentaati protokol kesehatan dalam upaya pencegahan Covid- AyoPakaiMasker IngatM PatuhiProkes https://t.co/XtAWtAWiL 
86;Netral;Tetap Disiplin Protokol Kesehatan  Cegah Penyebaran Virus Covid .  DivHumasPolri PoldaKaltim PolrestaSamarinda PolsektaSungaiKunjang AyoPakaiMasker PatuhiProtokolKesehatan CegahVirusCovid https://t.co/uittafeNa 
87;Netral;Ada beberapa yang DM soal permenkes pemanfaatan obat tradisional. Ini lengkapnya :...... Sekali lagi ini bukan obat covid  loh ya. Semoga semuanya sehat. Tetap bermasker. Jaga kesehatan. Covid  itu nyata dan kita melawan dengan memanfaatkan yang ada untuk kesehatan kita. https://t.co/HGvkrWD 
88;Positif;Doa Dari Desa UntukIndonesia Kiranya Bangsa Indonesia Dipulihkan dari Pandemi Covid .             https://t.co/dWaDdYnOjw 
89;Positif;Doa bersama   semoga selalu sehat dan terhindar dari wabah Covid . DoaDariDesaUntukIndonesia             https://t.co/EgQytlZF 
90;Netral; Dokter Relawan Covid- Ungkap Penyebab Obat IVIG Berharga Mahal Dokter relawan   https://t.co/RlvYfejLbm 
91;Positif;bagi para DOKTER  TENAGA MEDIS yang sedang berjuang menghadapi covid-..  dan juga bagi kita semua yang sehat  sakit  atau sedang isoman..  bacalah yang diajarkan Nabi shollallahu 'alayhi wa sallam berikut ini  berulang-ulang hingga hati tenteram in-syaa Allah..  PPKMDarurat https://t.co/SYIXGPLO 
92;Negatif; . Double Standard.  . Banyak idea bodoh.  . Tak serius menangani kes COVID- dan terus bebankan frontliner. . SOP cacamarba.  . Tak sensitif  pekak  buta dan lambat peka ttg kesusahan rakyat . Terlampau bermain politik dan gila kuasa. . Memperbodohkan rakyat. 
93;Netral;Penduduk Taman Nagasari  Bukit Mertajam yang larikan diri digesa pulang jalani ujian saringan COVID- - MBSP  https://t.co/hdUXBSDzEh  MenangBersama LindungDiriLindungSemua https://t.co/juRVbbRc 
94;Negatif;Turut berduka cita.  Pabrik oksigennya pun tidak bisa menolong dia.  https://t.co/kFHrKW 
95;Positif;Kita dukung terus langkah pemerintah untuk memutuskan rantai penyebaran Covid- ya Sobat. Mari bersama kita patuhi kebijakan PPKM Darurat secara bijaksana. Indonesia Lawan Covid!  PPKMDaruratLindungiKita https://t.co/PMQiZSISi 
96;Negatif;INI KATA DUNIA▪︎mau ikutan doang lockdown model India tapi kebijakannya gak diikuti. Akibatnya  jika India sukses turunkan  kali lipat orang terinfeksi covid- di sini tetap gak jelas. Yg jelas berita kematian terus meluncur dari rumah ke rumah  dari teman ke teman.  NGERI. https://t.co/uLQMlVL 
97;Negatif;Eggi Sudjana dkk minta Jokowi Tobat dgn beberapa syarat  ES ngebacot nggak ta’u maklum sudah sakitan. Presiden RI Bpk Joko Widodo dan Jajarannya di Pusat Daerah Tk I    TK II Kecamatan Kelurahan RW RT Desa bersama Rakyat Fokus kerja keras menghadapi Pandemi COVID- MERDEKA👍🙏🇮🇩 
98;Negatif;Jangan egois.. jangan sok jago...krisis kesehatan ini akan berubah menjadi krisis kemanusiaan kawaaan  jika tidak segera kita akhiri. Terpapar COVID- itu bukan aib dan belum tentu sakit. Tp  bisa menyebar. Maka SEMENTARA TAHAN DIRI 
99;Negatif;    Ekspansi virus Delta di India  Malaysia  sekarang di Indonesia  bahkan di Rusia  Inggris AS: krisis covid- tetap ada meskipun vaksin Kami akan menang Dengan kekebalan keseluruhan  persen  virus berubah lebih sedikit  tetapi ketidaksetaraan vaksin antara Kaya dan Negara miskin 
100;Negatif;Kita pernah enjoyed rentas negeri selama  hari tanpa sedikit pun beri kesan pada kes Covid-.  Semuanya lebur kerana mainan politik sang politikus haprak. Bukan setakat kes naik  rakyat mati dan muflis. Semoga kalian semua dibalas dengan seteruk-teruk azab dunia akhirat. 
101;Negatif;Eropa menghadapi gelombang baru infeksi Covid- dan WHO memperingatkan penggemar Euro  bisa menjadi penyebar super varian baru  Delta plus . https://t.co/pKfjeTwct  BeritaSonora via  
102;Netral;Fase awal  . Lockdown  hari (Luar dan dalam negeri) . Treat (maksimalkan kapasitas penunjang  SDM  sampe fasilitasnya untuk menangani pasien covid-    penyakit lain di RS    PKM) . Vaksinasi dtng ke rumah  batalkan semua jenis vaksin massal/kerumunan &gt   orang 
103;Netral;Fase pelonggaran  . Open lockdown . Masuk PSBB ketat . Sosialisasi protokol kesehatan . Tracing pasien (saran ubah alur diagnosis (+) covid-. Pasien dengan gajala covid- dengan swab antigen (+) sudah masuk diagnosis. Tracing cluster  keluarga dan kantor) https://t.co/SLQHaltWx 
104;Netral;Fatayat kota Tangerang mendukung surat edara. Walikota untuk mencegahan covid- https://t.co/nMXnxQEfXZ  Follow us : Instagram :  Twitter :  Fanspage :  Website : https://t.co/GLEyPyzxHd 
105;Positif; Kenapa tidak fungsikan JEC sbg rumah sakit darurat Covid- ? Jelas lbh cepat efektif effisien utk sgr operasionalkan  Colek 
106;Negatif;fyp gue skrng bnyk orang mninggal gegara kasus covid- semoga mereka yg dipanggil ama tuhan husnul khotimah😇🤲  Jan lupa patuhi protkes! 
107;Netral;Gantian mengingatkan boleh ya .....   Untuk mengatasi pandemi Covid- : PEMERINTAH JUGA HARUS LEBIH SERIUS UNTUK  T : . Testing . Tracing . Treatment 
108;Netral;Gedung Eks Perakitan Mobil Esemka Dijadikan Tempat Karantina COVID-  https://t.co/tapWgUoDSB 
109;Negatif;Meski boleh  apakah menggelar atau menghadiri acara pernikahan sungguh diperlukan? Hari ini  kasus Covid- mencapai .  yang merupakan rekor. Jangan Anda mengeluhkan situasi pandemi terus tapi masih bisa mengadakan pesta. Itu benar-benar anomali.  https://t.co/mZrltYQm 
110;Negatif;Gonta-ganti Nama Kebijakan Pandemi  Mengikuti kebijakan penanganan pandemi Covid- di Indonesia ibarat membaca teks vulgar di bak belakang truk:  lupa namanya  ingat rasanya . Editorial korantempodigital KoranTempo https://t.co/MLhJdCx 
111;Positif;Gubernur Ganjar Pranowo memuji warung hanya melayani pesanan take away atau dibungkus dan dibawa pulang selama pandemi covid-. GanjarPranowo https://t.co/sGNZzQFUbG 
112;Netral;Gubernur  Perintahkan Honor Nakes Covid- RSUD Banten  Segera Cairkan https://t.co/xpKAWnva 
113;Negatif;Gue curiga konspirasi terkait Covid- seperti  dicovidkan    ambulance untuk menakut-nakuti  dan  Covid gak bahaya  itu cuma defense mechanism dari orang-orang yang ketakutan. 
114;Negatif;Gue nunggu si Ali ketularan virus COVID- aje. Buang-buang energi ngasih tau orang bebal.  Bukan cuma gue  tapi kawan di temlen udeh banyak yg kena  bahkan ada yg meninggal dunia.  Gue kagak nyumpahin  tapi die keknya pengen ngerasain sendiri sakitnye kena COVID- kek apaan. 
115;Negatif;Guys... angka kematian akibat Covid- di Indonesia naik sampai % :( and we never thought we would write this  but... chances are  ada orang di sekelilingmu yang kehilangan orang-orang tersayangnya karena pandemi :( https://t.co/EcYEYfrPF 
116;Netral;Menghadapi lonjakan kasus COVID- di RI  masker menjadi kunci. Double masking atau memakai masker rangkap lebih dianjurkan. Caranya bagaimana agar efektif? https://t.co/ewaPKOGsMs 
117;Positif;Hallo Kawan JM  Patuhi protokol kesehatan untuk memutus penyebaran Covid-  buat Kawan JM yang beraktivitas dimanapun dan kapanpun jangan lupa untuk M ya!  Yuk bersama-sama kita cegah penyebaran Covid-! https://t.co/uCsihFZ 
118;Netral;Hallo KawanPajak. Dalam rangka pencegahan penyebaran Covid- pelayanan perpajakan tatap muka KPP Pratama Jakarta Kebon Jeruk Satu akan dialihkan menjadi pelayanan online mulai tanggal  Juli s.d.   Juli  https://t.co/zavEhXXtC 
119;Positif;Halo Sahabat Lingkungan    Untuk menekan jumlah kasus Covid-  mari kita lakukan penanganan limbah medis dari sumber.   Untuk keterangan lebih jelas bisa lihat infografis di atas yah!   Yuk kita bersama-sama bijak dalam mengelola sampah limbah medis dari rumah.   https://t.co/VhcshtQryE 
120;Netral;Halo temen-temen. Sebenernya  aku bukan tipe yang suka bawa irl ke twt. Tapi  I need this  urgently🥺🙏 my aunt has tested positive covid  and has been under intensive care. kami butuh donor plasma darah yang sesuai dengan kriteria di bawah. Boleh tolong bantu share. https://t.co/CzKxepDe 
121;Negatif;Tampaknya para HamaDemokrasi terganggu dg dorongan BongkarKorupsiBansos Covid-    advokasi membela hak PegawaiKPK korban TWK.  Narasi mereka skrg: jangan ganggu pemerintah yg sdg tanggulangi pandemi.  Pdhal salah faktor pengganggu adalah Korupsi dlm Penanganan Covid-. 
122;Negatif;Saya berharap pemimpin  dpt menjelaskan isu yg timbul ini. Mengapa perlu dikenakan sewa jika ingin membantu menangani covid-? Jika ianya satu fitnah saya berharap pemimpin PAS dpt menafikan bersama fakta atau bukti!      https://t.co/SPjNpIBGJ 
123;Netral;Hebahan Info On Wheels (IOW) Perintah Kawalan Pergerakan Diperketatkan (PKPD) Dan Ujian Saringan Komuniti COVID- Taman Murni  Sungai Pelek  Daerah Sepang.  https://t.co/QflqILCx  IOW  PKPD COVID  PatuhiSOP  KitaMestiMenang MenangBersama KomunikasiKita JaPenSelangor https://t.co/TuVSjoN 
124;Netral;Hingar bingar Olympic belum terasa di Indonesia since an alarming spike in Covid- cases occurred. Fokus dan pemberitaan sedang ke bencana ini. Tetap kupenasaran dgn olympic kit kita ~  Stay safe  stay healthy  stay home  and stay sane everybody ~ 
125;Negatif;HMI:  Keterpurukan negara ini ini tak hanya terjadi di masa pandemi Covid- saat ini  tetapi telah terjadi bahkan sejak awal Jokowi menjabat.   https://t.co/JAVgYMEtf 
