tweetcreatedts,username,text,retweet_count,like
 2021-07-03 23:59:07,Parjo48789369,"Tiap hari, ada saja kenalan minta bantuan utk dpt ruangan isolasi RS, ICU, oksigen dan ambulan. Tiap hari, dpt kabar kenalan meninggal krn Covid-19. Mau yg pro pemerintah, oposisi, TNI, Polri, ASN, swasta, dll mulai cari selamat sendiri2. Semoga Tuhan melindungi rakyat negeri ini",46,0
 2021-07-03 23:59:06,Darmalik3,"Eggi Sudjana dkk minta Jokowi Tobat dgn beberapa syarat, ES ngebacot nggak ta’u maklum sudah sakit2an. Presiden RI Bpk Joko Widodo dan Jajarannya di Pusat Daerah Tk I &amp; TK II Kecamatan Kelurahan RW RT Desa bersama Rakyat Fokus kerja keras menghadapi Pandemi COVID-19 MERDEKA👍🙏🇮🇩",83,0
 2021-07-03 23:59:06,Cerdas32885715,"HMI: ""Keterpurukan negara ini ini tak hanya terjadi di masa pandemi Covid-19 saat ini, tetapi telah terjadi bahkan sejak awal Jokowi menjabat.""  https://t.co/JAVgY7MEtf",234,0
 2021-07-03 23:59:05,ariansyahABO,"Kabar Baik!!  Penelitian terbaru menyatakan bahwa: - Air purifier portable HEPA filter menurunkan risiko paparan aerosol simulasi Covid-19 indoor hingga 65% -Kombinasi masker + HEPA filter menurunkan risiko hingga 90%  Air purifier HEPA filter + masker di ruang tertutup works! https://t.co/dUDX0pSaAt",5126,0
 2021-07-03 23:59:03,kal_wukirsari,Update data sebaran kasus pasien Covid-19 di Kalurahan Wukirsari berdasarkan data dari Pemerintah Kalurahan Wukirsari yang bekerja sama dengan Puskesmas Imogiri I per Minggu 04 Juli  2021. https://t.co/Dekqk5S2Cg,0,0
 2021-07-03 23:59:00,annisah_k,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15706,0
 2021-07-03 23:58:58,cetarbuckss,"Baru kali ini terjadi kematian di luar fasilitas kesehatan atau saat isolasi mandiri 😰🥀  Ini rilis kami, tercatat sedikitnya 265 orang meninggal dunia saat isolasi mandiri. Sedemikian lemahnya jaminan keselamatan rakyat Indonesia.  https://t.co/SREkQUZDRo",1463,0
 2021-07-03 23:58:57,mimiyaakob,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15706,0
 2021-07-03 23:58:54,rora_boceng,"Bos tabung oksigen aja meninggal, apalagi yang bukan. https://t.co/T4L8kdvDMO",222,0
 2021-07-03 23:58:53,hyuntaewoo,"Kabar Baik!!  Penelitian terbaru menyatakan bahwa: - Air purifier portable HEPA filter menurunkan risiko paparan aerosol simulasi Covid-19 indoor hingga 65% -Kombinasi masker + HEPA filter menurunkan risiko hingga 90%  Air purifier HEPA filter + masker di ruang tertutup works! https://t.co/dUDX0pSaAt",5126,0
 2021-07-03 23:58:53,ibamzs,"Baru kali ini terjadi kematian di luar fasilitas kesehatan atau saat isolasi mandiri 😰🥀  Ini rilis kami, tercatat sedikitnya 265 orang meninggal dunia saat isolasi mandiri. Sedemikian lemahnya jaminan keselamatan rakyat Indonesia.  https://t.co/SREkQUZDRo",1463,0
 2021-07-03 23:58:53,Abdurahman18981,Barusan ada orang bercerita tentang hal lucu.dia divonis covid-19 padahal sudah di fucksin lebih dari 2x.setelah di memberikan ket ke dr telah fauckin tiba tiba si dr tersebut menarik statement nya dan menyarankan istirahat dan minum air putih yg banyak.artinya ini ada dagangan,104,0
 2021-07-03 23:58:48,AstreaPRIMA6,"@Sanken90720956 @musniumar @MajelisUlamaID @DewanMasjid Mencegah Penyebaran Covid itu dengan Protokol Masker, Jaga Jarak, Cuci Tangan. Bukan menutup Masjid  #masjid   https://t.co/AuZFgznwho https://t.co/QjvtqdxHdu",0,0
 2021-07-03 23:58:47,ealahpooh,Pemerintah Wakanda berusaha menanggulangi COVID-19 https://t.co/WaeL3zR3Tn,1482,0
 2021-07-03 23:58:41,Vers_chub,"Patuh Pada Ketua Adat, Kasus Covid-19 di Masyarakat Baduy Nol Persen https://t.co/OS20bFEtGc https://t.co/K3Ff9Wmu6U",2187,0
 2021-07-03 23:58:41,Mang_Yuga,"Turut berbelasungkawa. Arief Harsono ini adalah pemilik Samator, produsen oksigen medis terbesar di Indonesia. Almarhum pun meninggal karena Covid-19. https://t.co/oScw53UnWb",286,0
 2021-07-03 23:58:40,apriantiskandar,"Baru kali ini terjadi kematian di luar fasilitas kesehatan atau saat isolasi mandiri 😰🥀  Ini rilis kami, tercatat sedikitnya 265 orang meninggal dunia saat isolasi mandiri. Sedemikian lemahnya jaminan keselamatan rakyat Indonesia.  https://t.co/SREkQUZDRo",1463,0
 2021-07-03 23:58:40,Satrio_yph,"Meski boleh, apakah menggelar atau menghadiri acara pernikahan sungguh diperlukan? Hari ini, kasus Covid-19 mencapai 27.913, yang merupakan rekor. Jangan Anda mengeluhkan situasi pandemi terus tapi masih bisa mengadakan pesta. Itu benar-benar anomali.  https://t.co/8m9ZrltYQm",246,0
 2021-07-03 23:58:39,itsfarhad_,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15706,0
 2021-07-03 23:58:37,HannaH_DERA,Ada baiknya kita berhenti mengindahkan para konspirator Covid-19. Itu hanya membantu mereka menjaga cerita-ceritanya tetap hidup. Ada situasi yang lebih urgen di rumah sakit yang sedang kewalahan. Membahas mereka juga tidak berkontribusi memperbaiki situasi kita. Terima kasih.,1382,0
 2021-07-03 23:58:37,QoLire,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15706,0
 2021-07-03 23:58:36,kalisbeda,"Jangan Panik! Ini 5 Latihan Pernapasan Pasien Covid-19, Cocok untuk di Rumah Sakit atau Isoman https://t.co/njoS86b1bc https://t.co/dv3HHQUjlt",17,0
 2021-07-03 23:58:33,Salimbado9,"Sedangkan yg ini👇 habib mustofa al haddar kalimantan Dipesan oleh wakil bupati agar ceramah waspada covid-19 ... eh malah dia ceramah bertentangan dari pesan wakil bupati  video serupa ceramah habib ini banyak di youtube @CCICPolri @divhumas https://t.co/C53hu8Tb9z",221,0
 2021-07-03 23:58:32,SherlySuhariani,menyampaikan bahwa kasus Covid-19 di Jatim ini sudah mencapai third wave loh!,0,0
 2021-07-03 23:58:30,ahmadkhabib,"Kabar Baik!!  Penelitian terbaru menyatakan bahwa: - Air purifier portable HEPA filter menurunkan risiko paparan aerosol simulasi Covid-19 indoor hingga 65% -Kombinasi masker + HEPA filter menurunkan risiko hingga 90%  Air purifier HEPA filter + masker di ruang tertutup works! https://t.co/dUDX0pSaAt",5126,0
 2021-07-03 23:58:29,ahmadyaenuri,"Covid-19 &amp; Orang Terkaya Indonesia  Anda semua orang terkaya telah memperoleh keuntungan ratusan sd ribuan milyar rupiah dari negeri ini.  Mohon Anda tunjukkan kepedulian ke negara &amp; rakyat: masing-2 Anda membeli 1 juta vaksin Pfizer/Moderna u/disuntikkan ke rakyat scr gratis. 🙏 https://t.co/mhaD5lpdIO",394,0
 2021-07-03 23:58:26,wong52,"@peyeeeek @Freya_JKT48 @S_SiscaJKT48 @C_JessiJKT48 Ekspansi virus Delta di India, Malaysia, sekarang di Indonesia, bahkan di Rusia, Inggris,AS: krisis covid-19 tetap ada meskipun vaksin Kami akan menang Dengan kekebalan keseluruhan 80 persen, virus berubah lebih sedikit, tetapi ketidaksetaraan vaksin antara Kaya dan Negara miskin",1,0
 2021-07-03 23:58:25,thelailoss,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15706,0
 2021-07-03 23:58:23,firdhausamin,"@SyedSaddiq 1. Double Standard.  2. Banyak idea bodoh.  3. Tak serius menangani kes COVID-19 dan terus bebankan frontliner. 4. SOP cacamarba.  5. Tak sensitif, pekak, buta dan lambat peka ttg kesusahan rakyat 6. Terlampau bermain politik dan gila kuasa. 7. Memperbodohkan rakyat.",1002,0
 2021-07-03 23:58:22,happylifeeu,"Kabar Baik!!  Penelitian terbaru menyatakan bahwa: - Air purifier portable HEPA filter menurunkan risiko paparan aerosol simulasi Covid-19 indoor hingga 65% -Kombinasi masker + HEPA filter menurunkan risiko hingga 90%  Air purifier HEPA filter + masker di ruang tertutup works! https://t.co/dUDX0pSaAt",5126,0
 2021-07-03 23:58:17,Ryadi_zho,Luhut Binsar Pandjaitan mewanti-wanti semua pihak agar tidak mencari untung di masa PPKM darurat. #PPKMdarurat  https://t.co/9ibD2tozlv,57,0
 2021-07-03 23:58:16,dennisafika,"Kabar Baik!!  Penelitian terbaru menyatakan bahwa: - Air purifier portable HEPA filter menurunkan risiko paparan aerosol simulasi Covid-19 indoor hingga 65% -Kombinasi masker + HEPA filter menurunkan risiko hingga 90%  Air purifier HEPA filter + masker di ruang tertutup works! https://t.co/dUDX0pSaAt",5126,0
 2021-07-03 23:58:14,ilyasyamimi,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15707,0
 2021-07-03 23:58:10,Senkomsidoarjo,"Polri mengerahkan tujuh tugas (Satgas) yang akan diterjunkan selama pelaksanaan Operasi Aman Nusa II Lanjutan Penanganan Covid-19 #LangkahCepatPolri OpsAman Nusa II https://t.co/kpyuCljbU4",0,0
 2021-07-03 23:58:06,Kanal_RI,"Kasus Covid-19 Meroket, Rangkaian Pernikahan Rizky Billar dan Lesti Resmi Diundur!  https://t.co/j12hoKv0VU Via @Info_Pariwara https://t.co/xI377Jtyn1",0,0
 2021-07-03 23:58:05,WongDes90513142,"Buntut Larang Salat Ied dan Takbiran, Menag Disebut Lebih Takut Covid-19 Dibanding Allah https://t.co/qA4TnEFGaH",280,0
 2021-07-03 23:58:05,upoxy,"Rumah Sakit Umum Pemerintah (RSUP) Dr Sardjito DI Yogyakarta dikabarkan kehabisan oksigen medis. Akibatnya, enam pasien Covid-19 meninggal dunia. https://t.co/nHYwtJ3sAK",42,0
 2021-07-03 23:58:03,AZMZVM,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15707,0
 2021-07-03 23:58:01,TuanAyu,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15707,0
 2021-07-03 23:58:00,sufiandeen,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15707,0
 2021-07-03 23:57:55,PmrSik,"Rakyat yang terputus bekalan makanan akibat pandemik COVID-19, boleh berhubung dengan pusat khidmat wakil rakyat di kawasan masing-masing untuk memohon Bantuan Bakul Makanan bawah Pakej Perlindungan Rakyat dan Pemulihan Ekonomi (PEMULIH) dan https://t.co/SgFUcBwzng",108,0
 2021-07-03 23:57:54,edoi_101,"Saya baru pulih dari Covid 19 1. Panas badan 2. Dingin ga bisa kena air 3. Hilang penciuman 4. Hilang rasa lidah 5. Pilek batuk.. 6. Otot kaku ngrentek 7. Lemes banget muales pol 8. Kepala nyutnyutan",202,0
 2021-07-03 23:57:50,PmrSik,"#PKP #COVID-19  KENYATAAN MEDIA KETUA POLIS NEGARA  Pergerakan Tujuan Perubatan / Vaksinasi Dan Kecemasan Bagi Lokaliti PKPD.  #StayHome #BeSafe #Pray4Malaysia #LetsHelpOurFrontliners HELP BREAK THE COVID-19 CHAIN https://t.co/iKfqLT7pLL",319,0
 2021-07-03 23:57:47,aidahusnina_,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15707,0
 2021-07-03 23:57:45,wahabbkamal,Berapa banyak yang sadar bahwa keterbatasan kemampuan negara melindungi rakyat dari pandemi covid-19 adalah akibat korupsi yang merajalela?,648,0
 2021-07-03 23:57:45,Rosalia_Ind,"PT. Rosalia Indah Transport sepenuhnya mendukung Program Pemerintah terkait penanganan kasus Covid-19 melalui dilaksanakannya PPKM (Pemberlakuan Pembatasan Kegiatan Masyarakat) Darurat yg diterapkan di sejumlah Kota/Kabupaten di P. Jawa &amp; P. Bali, mulai dari tgl 3 – 20 Juli 2021. https://t.co/nHO15m8HOG",7,11
 2021-07-03 23:57:44,PmrSik,"Jom ketahui berkenaan PEMULIH di Buletin Kita Ok! Bil. 5/Julai 2021:  https://t.co/5SC7yde3KJ  Tajuk menarik kali ini: 1. PEMULIH  2. Bagaimana nak ‘survive’ perniagaan musim COVID-19 3. Ramalan prestasi perniagaan dan macam-macam lagi! https://t.co/a2VB8Fw4hj",106,0
 2021-07-03 23:57:44,khikman17,"Kabar Baik!!  Penelitian terbaru menyatakan bahwa: - Air purifier portable HEPA filter menurunkan risiko paparan aerosol simulasi Covid-19 indoor hingga 65% -Kombinasi masker + HEPA filter menurunkan risiko hingga 90%  Air purifier HEPA filter + masker di ruang tertutup works! https://t.co/dUDX0pSaAt",5126,0
 2021-07-03 23:57:43,syafrilelain1,"Gubernur  Perintahkan Honor Nakes Covid-19 RSUD Banten, Segera Cairkan https://t.co/xpK0A3Wnva",0,1
 2021-07-03 23:57:42,albert_boruc97,"Di saat pemerintah sedang berkonsolidasi melawan pandemi covid-19, mahasiswa semestinya bisa berperan aktif kepada pemerintah dalam mengkonsolidasikan perlawanan pandemi covid-19, bukan malah memberi kritik tanpa solusi.  @BEMUI_Official   #AwasBahayaVirusKadrun https://t.co/pXLdYlVpAM",22,0
 2021-07-03 23:57:39,_asprasetyo,"KAI Sediakan Vaksinasi Covid-19 Gratis di Stasiun https://t.co/DvYTZkFiEz  KAI menyediakan layanan vaksinasi Covid-19 di stasiun bagi pelanggan KA Jarak Jauh secara gratis mulai 3 Juli 2021 di berbagai stasiun. https://t.co/d3iX5OXj2R",31,0
 2021-07-03 23:57:39,roziinsi,Berapa banyak yang sadar bahwa keterbatasan kemampuan negara melindungi rakyat dari pandemi covid-19 adalah akibat korupsi yang merajalela?,648,0
 2021-07-03 23:57:39,andfadiae,"Kabar Baik!!  Penelitian terbaru menyatakan bahwa: - Air purifier portable HEPA filter menurunkan risiko paparan aerosol simulasi Covid-19 indoor hingga 65% -Kombinasi masker + HEPA filter menurunkan risiko hingga 90%  Air purifier HEPA filter + masker di ruang tertutup works! https://t.co/dUDX0pSaAt",5126,0
 2021-07-03 23:57:36,PmrSik,"Status Terkini COVID-19 Di Malaysia, 2 Julai 2021  Sumber: @KKMPutrajaya  #MenangBersama #LindungDiriLindungSemua #KomunikasiKita #JabatanPenerangan https://t.co/dO80SiDQa0",184,0
 2021-07-03 23:57:33,merdekadotcom,"Kabur dari RSUD Wonosari Gunung Kidul, Pasien Covid-19 Ditemukan Meninggal di Selokan: Kasat reskrim Polres Gunungkidul, AKP Ryan Permana membenarkan telah ditemukan jenazah di selokan depan Ruang IGD RSUD Wonosari sedalam empat meter. Polisi yang datang… https://t.co/sxBGifOJBB",1,0
 2021-07-03 23:57:27,fiez_fieyza97,"""Besar kemungkinan COVID-19 akan terus ada dan menjadi endemik, serta memerlukan vaksinasi berkala.""  #ICYMI #AWANInews #AWANIpagi #MyVaksinCovid19 #jomcucukvaksin  https://t.co/PGt4gRrg3i",21,0
 2021-07-03 23:57:25,Choliq09940962,"Sobat Jatim,  berikut ini peta sebaran COVID-19 di Jawa Timur s.d. 3 Juli 2021.    @KhofifahIP @EmilDardak   @dinkesjatim @KemenkesRI  @bpbd_jatim @BNPB_Indonesia https://t.co/hX7hvqh7OC",17,0
 2021-07-03 23:57:24,rahmatsn,"Apa yg terjadi saat ini, adalah wujud kegagalan pemerintah dalam melindungi rakyatnya, gagal menangani penyebaran covid 19 sejak awal,gagal dalam penyediaan fasilitas kesehatan yang layak,dan mirisnya semua diam,parlemen pun bungkam",8,18
 2021-07-03 23:57:23,sisaguss,"Ketua umum Pengurus Besar Ikatan Dokter Indonesia, Daeng Faqih menilai, tak masalah jika para dokter saat ini merekomendasikan obat Ivermectin sebagai terapi penyembuhan Covid-19. Menurutnya, hal itu merupakan bagian dari ikhtiar.   PPKM Langkah Tepat https://t.co/eu17nwe8I0",0,0
 2021-07-03 23:57:22,tressaiyu,"Pesakit #COVID19 atau kontak rapat yang menjalani kuarantin di rumah perlu mendapatkan rawatan segera di fasiliti kesihatan jika mengalami gejala-gejala ini.   Gejala-gejala ini adalah 'warning signs' kesihatan pesakit  COVID-19 semakin teruk.   Segera dapatkan rawatan dengan: https://t.co/WlRUkyIqnF",266,0
 2021-07-03 23:57:19,AsepWitoko,"Klo anda punya uang utk beli hewan qurban tapi tetangga/teman anda sangat mebutuhkan bantuan krn terdampak Covid-19, mana yg didahulukam apakah berqurban atau bersadekah?   .  Saya pilih sadekah, Qurbannya tahun depan aja. Krn sadekah itu utk menyelesaikan masalah orang lain ?",107,0
 2021-07-03 23:57:18,jenengkumasted,"Kabar Baik!!  Penelitian terbaru menyatakan bahwa: - Air purifier portable HEPA filter menurunkan risiko paparan aerosol simulasi Covid-19 indoor hingga 65% -Kombinasi masker + HEPA filter menurunkan risiko hingga 90%  Air purifier HEPA filter + masker di ruang tertutup works! https://t.co/dUDX0pSaAt",5126,0
 2021-07-03 23:57:17,IdahFaridah93,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15708,0
 2021-07-03 23:57:14,hafnikharisma,"Baru kali ini terjadi kematian di luar fasilitas kesehatan atau saat isolasi mandiri 😰🥀  Ini rilis kami, tercatat sedikitnya 265 orang meninggal dunia saat isolasi mandiri. Sedemikian lemahnya jaminan keselamatan rakyat Indonesia.  https://t.co/SREkQUZDRo",1464,0
 2021-07-03 23:57:13,gkgkgkkkgk,"Baru kali ini terjadi kematian di luar fasilitas kesehatan atau saat isolasi mandiri 😰🥀  Ini rilis kami, tercatat sedikitnya 265 orang meninggal dunia saat isolasi mandiri. Sedemikian lemahnya jaminan keselamatan rakyat Indonesia.  https://t.co/SREkQUZDRo",1464,0
